Review_ID,Review
2182,ok with most features but after updating the shortcut disappears
3858,so easy and quick love it
7879,scotiabank provides best services and application is very easy to use i like it
5527,very good fast service
5665,app crashes on launch rebooting the phone clearing the cache and force quitting the app to try again do not resolve the issue any non functional app deserves a  star rating
7901,please fix your cheque deposit feature
760,brutal app my patience is nearly done with this bank more than half of the time i log in it tells me sorry were working on displaying some of your accounts please check back later because of this i cant access all of my accounts and i cant update all of my upcoming payments and because i dont have a laptop i cant go to the desktop version on the internet so im sol
4549,i cant find what i need
1651,easy and simple
154,just like the bank the app is also not good it is continously asking to deactivate sv every time i try to login i deactivated sv and still the app is asking to deactivate it developers should take care of this this is a banking app
2682,i can manage my money
5189,very nice app simple to use
8419,constantly having to sign in numerous times before account info comes up
5381,one the most userfriendly bank application
7948,widget is not working anymore and it was my basic functionality really disappointed
15,who cares
692,nice very helpful
9124,good 
3524,completely unable to use the app now every time i open it it tells me there aas an issue with sv and i have to answer a ton of questions to deactivate it and then reactivate it to log in rinse and repeat every time fix this
8537,helps me manage my finances easily from anywhere
4291,i hate this
5867, awesome
5432,constant glitches and they debank dissidents
2480,as if two step wasnt a pain enough  know i cant even get it to open  great job not 
4848,wish i had automatic deposit for phone etransfers
2247,doesnt let me login normally for the past few days now everytime i try to login it asks me deactivate the  step verification and then turn on again this is not good how can you expect me to go through all those steps everytime i want access to me bank account
5820,very convenient and user friendly
2587,app is down frequently forces me to use  step verification when i dont want to
8660,easy to use
3000,stayed at the super  nights while we did the agawa canyon train ride  great location walking distance to restaurants  the king bed and jacuzzi were awesome
3424,the app has so far fulfilled what i need to do with online banking and how i manage my accounts kudos to the team
1536,impossible to deposit a cheque now keeps saying the image isnt the right size but the app is taking the image take it right then
495,depositing cheque was so easy
2134,solid and stable zero complaints
8250,trying to deposit a cheque using their app is beyond frustrating and buggy
4576,its an extremely useful app the images used to sometimes take a while to get right but recently i havent had any problems i can only assume the app is improving as we go along thank you for saving me gas and unnecessary trips to the bank
7624,while using the pay bills feature my account is not displayed in the selections i have been managing bills through this app and now this bug is forcing me to migrate to my other bank account
8902,ever since the new and unneeded app update the scotia app doesnt allow you to pay off your credit cards from your chequing account anymore
839,system maintenance ruined a good thing app was working well now cant even sign on not helpful and  minute wait to talk to customer servicei dont have that time available
2217,the google reviews lead us to stay at the askwith lockwood and we were not disappointed   safe quiet clean good staff parking overall value etc etc
2730,wont even let me sign in
2865,you need to fix this app it is ridiculous that i can not open the app to see my bank account
7638,great make banking a lot convenient and easy
33,excelente
2252,glitches too often
1098,i am not comfortable with this
6578,great
2453,great
1718,much improved experience great progress
4721,meh nothing really special about the scotia app comparing to other banks the one thing i do really like is the dark mode option
4759,by far the worst banking app and even worse customer service and experience it rarely worked properly and now with  step verification it doesnt work at all an absolute joke good luck calling the number they give in order to fix it just do yourself a favor and switch banks
18,very rewarding
134,its faster to walk to the bank and deposit my cheques in person than fight with this terrible app
8489,perfect
4222,the app keeps crashing every time i login immediately i get past the login screen i see my account and the app closes then my phones show that the app has a bug which is why it keeps crashing
5677,the cheque deposit is really a pain to use for some reason it usually wont take the pictures and it can take alot of attempts and alot of time
7117,very easy to navigate
6200,
8127,keeps crashing says the app has a bug
1507,not working
5183,very nice and easy to use
6205,how are you a banking up when everytime i open it and login it says something went wrong then log me out over and over again like i need to be able to look at my bank account whenever i need to but i never can get it together
6697,excelent
39,lots of errors
8945,extremely sloppy auto capture for cheque deposits cant even do manual capture anymore since no frame guide is around to follow making it it impossible to deposit cheque through the app now
5987,it was working fine up until a few days ago now i cant even log init doesnt open
3691,complete trash
296,the deposit a cheque feature is not functional tried for an hour with the stupid thing and not luck had to deposit in person pissed me off
6531,i check my account several times a day and the app is fabulous
578,pretty useless for me it wouldnt let me even activate my account and ive contacted the bank multiple times and they didnt do anything about it and its been like this for a month now
528,so convenient banked there for years now
3662,this app was working great and then out of nowhere it stopped i wasnt able to sign in it didnt say if it needed a upgrade on the app i had to uninstall it and install it again in order for it to work other than that i like the app
247,id give it negative stars if i could this app is so bad im switching banks scotiabank is the absolute worst nobody else in my family or friends has an account with them and i can see why any other bank seems to have functional apps and no issues i could go anywhere else and have a better experience guaranteed sb is useless their app and customer service are garbage their reply here is stupid you think i didnt complain to multiple people at sb first they were all rude  didnt help
8659,i love everything about this bankwhen i first came here they helped me get to a good start
2707,works perfectly
8885,not working properly with new update and takes more time to open the menu
7863,for anyone else who is clueless when it asks you for a pin now after you enter your password it wants the pin you use to unlock your phone took me forever to figure that out i have a lot of pins never knew the scotia app knew my phone pin
9048,the fa system is god awful and never works too bad you are forced to set it up being locked out of your account for days at a time sure is fun
4706,scotiabank is good
5506,i cant pay my credit card from my checking account the option to pay is not available
8936,they made everything harder good for them
6144,excellent
4348,constantly having trouble with this app at this point i might just switch banks to be done with it
2070,great app works well
6972,just absolute trash
23,still broken cant make payments says first time making online payments we can help with that and then gets an error and says to call them i called and they couldnt help its not my first time making payments it worked fine until about a year ago and this garbage app still isnt fixed
5451,very convenient
8284,app barely works ive had consistent issues just trying to open it
487,eh
1091,i have tried numerous times to signin after removing the twostep verification from one of my devices im now trying to sign in and the message that i get is it looks like you dont have step verification set up to sign in to your account on this device please open the scotiabank app and set up step verification return to sign in this appears to be a circular error as i enter my signin information and i continue to get the same message without a menu item for the step verification
5762,absolute trash app
5254,very user friendly
342,the app doesnt like to work anymore ive removed and installed it over again its still not working between this and holding peoples cheques constantly i dont know if im going to stay with this bank much longer
1163,very secure and easy to use
1379,if you want to deposit a cheque try a different banking app its the only thing this bank cant seem to fix
1690,excellent
693,worked very well does what i need it to do
31,really  charge to deposit money thats bunk
6000,good but not fantastic rrsp info and investments too limited
8764,it  has been a horrible experience
6168,app keep crushing after entering username and password worst app ever customer service representative was no help
7091,this app is trash it keeps telling me my auto filled information is wrong i havent had access to my account in days someone needs to look into this its very frustrating
8852,its not updating soon been  days
5557,cant sign in changed my password for bo reason app i bugged right out and needs to be fixed pretty frustrating
8163,first time using it was easy im not familiar with the other questions
3930,havent any issues
8753,cant make mobile deposits easily
6935,it pretty easy once you get the hang of it
7856,simple to use worked like it should
1388,after the bank added sv i cant log in even though i put my passwordthere is no way for me to log in it is terrible
4323,ruff not what i was expected when i first started after all these years
6288,ive became familiar on the use of this app it satisfy my needs and i dont have any problems with the signon now that i understand it
4608,so convenient
5981,update since last update im no longer able to sign in i get a deactivate sv ive done it  times and it keeps giving me the same window every time i cant even login via web browser unless i deactivate extremely frustrating
799,this app is not good moving money between my accounts within scotiabank is okay but anything else is too frustrating to bother with the web version also sucks so i guess it isnt any surprise that the mobile version is even worse
8230,very user friendly
8350,they charge me  per etransfer so much for loyalty
7415,app is keep crashing again and again uninstalled it completely and reinstall the app still same issue
8383,length use of app  years oppo phone samsung z flip i dont know why i see mixed reviews however personally this app is fairly easy to use navigation is straightforward havent experienced login issues unless the app was requiring maintenance it offers majority of what you need to avoid calling over the phone for information if i can make a suggestion to incorporate biometric into the login phase its reliable and saves time considering the complicated passwords we require nowadays
6760,i love it no regrets
5507,fantastic people understand what you wantthis app is awesome
6329,very bad experience unable to login while i am  sure my user name and password are correct
3214, step authentication sucks big time
2917,it didnt work called the call centre and they had no idea the app was even down the app needs a complete overhaul
3143,i keep getting an error when i try to log in no matter how many times i try its just error after error
5970,great
2921,just getting familiar with the app
4597,easy
2429,poorly designed for seniors citizens
5656,great app
6377,user friendly
2664,glitch when typing passwords in etransfer enters several characters and enters letters again when using backspace
7257,notifications never happen so fa is broken
121,has been trouble free lately
3170,easy to navigate and pay bills
4840,scotiabank app is good till it acts up had  business with scotiabank now overall works till you try to deposit a cheque and it says sorry we are fixing the site no pic deposit of cheques at moment  days later same and phone in guy says redownload app fixed other issue cant get a pic of void cheque with business name on it scotiabank bank personal app you can not business then you deal  number and that turns into a week of headaches forsomething simpleother problems too
3453,excellent location close to restaurants and shopping  within minutes of trans canada  to get in and out of town
7249,superb app very user friendly i simply love it
2228,very intuitive used the app for a very long time and have watched it growup into a great banking app
5109,awesome
3304,fantastic app easy to use
3771,love it works in cases of emergency
3673,worked fine every time then one morning the app was just gone tried to reload and it said the app was already installed
8987,it keeps saying it has a bug in the app and to update but there is no update i already reinstall stalled and now it is happening again
6589,user friendly and flexible
5270,really good
4157,i tried doing everything the developer suggested multiple times with no success the old interface for deposits was way superior and more convenient please fix the buggy system
4556,simple and efficient
3856,cant log in  app crashes with fingerprint scanner and when i use my pass the app says the pass is wrong and its not  must be an update thats screwing up
982,great when it works but too often do i run into a login error or theres an issue on their end and i cant access my account unreliable access is really annoying when trying to access funds
3784,latest update is trash completely screwed up the cheque deposit feature i just spent  min trying to deposit my cheque worked fine before why you trying to fix something thats not broken beyond irritating
6296,scotiabank accounts frequently appear as unavailable and interac etransfers have taken over an hour to appear as notifications these challenges have never occurred as a client with another financial institution
2873,awesome
5033,so long and thanks for all the money
8439,never seems to work
7440,need online banking on the daily
7248,not impressed with the two step activation i use your app for the purpose of not creating more work for myself thats no longer going to happen
8021,excellent
3125,cant do enough through the app closing my accounts
253,have to keep reinstalling wont recognize pw
1746,very good service continue this goes a long way
5111,very slow app version  halts periodically while moving to different sections never happened to my other banking apps
1453,the app is good except the pay bills option is buried in a sub menu which i dont like
272,quick and slick
2004,fingerprint login is not working on my pixel  my fingerprint gets recognised but does not login
2563,great
3618,stop forcing us to use lock screen on our own devices
6361,app works well only request i have to make it  stars is having the option for  time use etransfer its annoying having to add contact information every time to send e transfers most apps now have the ability to just add email or phone number and send as  time etransfer much easier and quicker also a recall or cancel feature for etransfers before they are received on ther end would also be great as other banks also have this feature
3277,app requires  factor verification but doesnt allow me to choose to use anything but text  and i dont have the ability to recieve that would love to be able to use authy or google authenticator
4476,cant login anywhere after last update the  step verification does not work
1523,i trust scotia bank which is something i wouldnt say of any other large bank
5775,no longer can log into my account
1035,fast secure and reliable service always
2916,nice hotel with exceptional staff great locationclean rooms with comfortable beds spacious parkingi would stay here again very quiet
4034,i was fine with the old app this new app doesnt allow me to make prepayments to my mortgage i thought new apps meant more options and new features not less
8993,cant even sign in says session timed out right away and cant use online banking because i need the app to set up fa
1817,it has stopped letting me do transfer through the ap
1972,app
6853,very fast
8159,image recognition software for cheque deposit is pretty bad and cant correctly identify the cheque amount plus its stupid that i had to download the app to deposit a cheque why is there no online banking option available
6140,good
2530,i cant say i have any complaints but overall i cant say my experience has been superior to anyorger back i have worked with
1957,bit of a surprise when i first opened the app but it seems ok so far
3481,today the app is saying there is a problem and asking me to deactivate fa it feels suspect otherwise the app was working well
1359,every few weeks when i need to use the app it crashes and wont even let me log in it will glitch and say sorry something is wrong a bunch of times so i have to uninstall the app and reinstall it then have to disable and enable  factor authentication every time god forbid i need to move money around asap for food the issue has been happening for about a year and its making me heavily consider switching banks after years of business with scotiabank
831,im having problem to log in since a week ago
6351,scotiabank well screw you over harder than you think
3414,not letting me deposit an etransfer
2939,easy to use user friendly
7654,the app keeps crashing since the last update and still hasnt been fixed after reporting the issue i am unable to log in using this app works fine with my ipad also reported a discrepancy in scotiabank visa transaction accurate on my monthly statements but not on the appwebsite representative escalated the issue but the discrepancy still hasnt been resolved
2898,keep having trouble with  step verification since the last update
7125,crashes and locks up constantly since a recent update navigating between screens causes the app to lock up and stop responding takes forever to load anything when it does work i would call this app garbage but honestly garbage would work better at this point
3100,if i could give scotiabank  stars i would
628,app wont let me send any e transfers needs work asap
1238,update now get an error please retry after update how do they make it worse each time the app was once quite good is now almost completely nonfunctional takes about  attempts to log in each time you would think the exorbitant fees they charge to hold your money would allow them to at least build a functioning app
2975,the two factor authentication doesnt send notifications to my phone and breaks my online banking and makes it so i cant sign in on my pc which is  more convenient i avoided it for awhile but im changing banks guna go to a credit union see you scotia
2819,the best
1941,good interface and easy to use
3007,why us your widget app keep saying this feature is currently unavailable ive been with scotiabank since  i hope this isnt the beginning of more problems
4097,starting yesterday my cellphone stopped receiving notification from this app therefore i can no longer log into my bank account even on my desktop computer this is definitely horrible and ridiculous
3616,cannot get more than a couple of months of statement history
771,very irritating app cant get in and weve used scotiabank on line for years totally exasperating
7150,this is a terrible app it keeps on crashing
6763,easy to use online banking has made life very easy
5799,i cant compliment this place enough the staff were friendly and helpful the hotel itself was comfortable and welcoming and the food and service at caseys were outstanding
4773,safe time and fast
6928,i am pleased with my service very rarely is it unavailable depositing cheques has been surprisingly easy
7151,lots of glitches and you still cant schedule a future bill payment they keep saying coming soon but the feature never gets indtalled very amateur app for a big  bank update now i cant even deposit a cheque auto deposit cannot be turned off awful total garbage
1151,great app
1755,no commrns
242,wont even let me log into my account
5992,you room was clean i dont like that you have my email address when i didnt give it to you though      
1414,this app is absolutely garbage constantly deleting and reinstalling for it to work problems never fixed would give less then  start if i could
1237,ever since they forced the sv i can no longer access any of my banking and they are completely useless in trying to help take the sv off cant even remove as it myself because it wont let me
3028,very easy app to use
4649,scotia has really made their banking app userfriendly
1815,very easy to use and navigate
2815,everything works except mobile deposit doesnt really deserve  star but thye updated the photo deposit  months ago and doesnt work at all
2097,since the update widget doesnt work just keeps cycling such a disappointment
2639,seriously can log into scotiabank online with a browser but cant on the app if i try my username it just says try again if i try my card number it says try again how badly have you messed up your app
3989,two stars for the last update i cant access one of my accounts now ugh
8648,easy to use
1283,auto pay often removes payments from account day ahead resulting in overdrafts
5886,you updated it and now its broken just crashes when trying to sign in deleted and redownloaded still broken well done 
9159,easy to use
5748,horrible time
2227,easy to use
4344,great app user interface is very intuitive and easy to navigate
3432,its good except ive been having problems getting into my banking app it keeps asking me to sign in for  step verification but wont let me scroll down now i cant make any check deposits or do any etransfers
8541,absolutely total garbage scotia likes to charge fees but they dont understand customer service pathetic
587,easy
2554,havent set it up yet
2076,simple and easy to use banking app
1437,its convient and easy to use
2606, step verification is a total headache i had to replace my broken phone and because the old one wasnt usable i got locked out of my account it took me like  days to figure out how to access my own bank account
8024,wont let me login since the new update
4497,excellent bank easy to deal with one issue would be the amount of offers and emails
1910, april  update is so useless that now i can not deactivate the  part verification from phone and can not login to online banking on the computer because it is sending yes its me prompt on the phone but app is not working it says call customer service which i did and was told to wait  hours android app has issue thanks scotiabank this is my second review for this app i have only  reviews since the smartphone invention fix asap  found out only one review allowed by google
841,the app is perpetually crashing its super inconvenient and has left me very frustrated as it is an integral part of my working day
3714,i have to answer the security question everytime i login while i use fingerprint and then they ask if i want the  step verification on top of that is there a way to turn those features off check deposite is horrible it doesnt focus ever cant turn off the auto capture just to deposit  checks it takes  minutes ridiculous i never go bellow the minimum balance to save the monthly fee and they still charge me for etransfer to be honest im not sure why im still with them
9162,used the app for years with no issues now fa is outright forced so app has been uninstalled i wont be using it
574,dont know how many people i know including my self have been declined by scotiabank card or app even when there has been sufficient funds avaible i dont even know why i still deal with scotia
3636,the motel was located across the street from the palm beach dubai locks we had restaurants and shopping all around perfect location very clean rooms and great service
3590,only works with  of the checks i try to deposit
390,is good
5316,wont let me log in it tells me to click a notification to say its me never get the notification tried uninstalling and reinstalling but nothing changes
3701,app is garbage and down every other week and this has been an issue since i opened with scotia in 
5953,easy enough for not overly computer user people
454,awesome
3749,its a good appcould use more options
1797,reliable
6494,excellent
7830,had the app for a few years and never had a problem with it until recently it forced me to set up the  step verification now i have the hardest time trying to sign in i have to either uninstall and reinstall it or change my password completely to sign in terrible terrible update
2870,this app is beyond aggravating i have a temporary loaner phone and i had too jump through hoops to check my own bank balance  i had to reset  step verification there is no option to ignore this  ignore my phone as primary reset up my loaner phone with two step verification and set up a brand new pin there should be an easier way to check your bank balance on your mobile device
4749,ads getting in the way of day to day banking the select pay ad comes back every time i open the app despite me clicking the x on it already
1826,exceptional appeasy to use and very helpfulawesome bank
221,slow and too many hoops to jump through to get to final destination
1589,good money
4145,never had an issue with scotias app they really are a great bank one of the better ones for sure
938,awesome
8574,something happened in an update a while back that has seriously affected the performance of the app it takes about a minute now to get to the login and passwords are no longer saved its chunky moving around the app and then when you go to close it itll lock up your phone for another minute no idea what happened but its an absolute nightmare to use this app these days
1149,very fast n very efficient
3431,always met with professionalism and patience as i am a  year old
3281,dam good
4865,awsome
5206,great
2560,now forces you to use  factor authentication tied to your phone and the cellular network not even having the option for  factor code gen apps brutal lose your phone or network down as its happened with rogers too bad terrible experience whoever thought of this is a moron
7522,this hotel was what made our stay magical they accommodated us as we were on our honeymoon they were also quiet and clean love their restaurant as well
7359,app started crashing all the time started on thursday i uninstalled the app and reinstalled it worked for a few hours now it keeps crashing again this morning hopefully it gets fixed soon ill change my review once this gets fixed edit app works great now changed my review to  full stars
7412,app used to work pretty well but now i was sent a new card and it wont let me do anything unless i verify the cvv which it says is invalid i tried contacting support but it just shows a blank screen i cant even log out of my account without force closing the app because it confirms if i want to sign out but then does nothing
1900,in my almost over  years of using the app it spiraled consistently down mastercard statements could not be viewed logging out also is a nightmare
7047,so often the app doesnt work properly doesnt show your balance or doesnt show pending transactions always something wrong
1418,smooth quick and perfect
8640,it wont let me log in whenever i want it is constantly being fixed or unable to connect every update it feels like a different app and every time it asks for more info to log in i get security is important but why i need  passwords is this app this weak and insecure i like this bank but if you tell us all in your banks that we have to use this app to make simple tasks and we cannot use that app it is just too frustrating
6893,way better than other banking app
3338,just a great app great company who have your best interests at heart i firmly believe that
3065,i love scotiabank best
5421,great app easy to use
1468,works well no issues as of dec st 
5949,i downloaded the scotiabank mobile banking app and it does not function at all furthermore the google play does not function properly either keeps telling me that another app is preventing me access to it garbage app
4271,ok until it isnt
8332,completely broken lately cant sign in at all keep getting errors saying mobile banking is down and try again later has been happening for a week now ridiculous
4209,fantastic
32,easy to use and most secured
9093,this banking app is down more than its up amd running been trying since am to get omline to do bankng and still says there having issues
6931, step verification is worthless and so irritating i need the option to remove it
1067,i would give this new app rating zero unfortunately i have to mark  star for me to be able to post review very unhappy with this new app
3760,ever since the new update i havent been able to deposity any cheques through the app it worked fine before but now its not letting me at all a lot of wasted time on this mobile app
4771,the room was nice and also clean  the people at the front desk were very friendly and helped us when needed
8985,it is a very nice holiday inn the rooms are clean and comfortable the staff were very helpfulgreat value but not posh
4367,excellent app never had any serious problems with it
7097,i dont have an option to pay my credit card using my savings card this sucks
6204,excellent
7442,this is definitely the worst bank app in canadamy husband have been trying for  weeks to get into his app with no luckcalled scotiabank zero helpscotiabank do something about your poorly designed app its unbelievable how bad it isthank god only my husband is a scotiabank client and im nothave never ever had a problem with my banks app
144,works great
4974,terrible app especially when it comes to depositing cheques would consider switching to a bank with a better app
7971,you make changes to the app and i find it harder to use
6556,never works not even to review keeps telling me to retry my login force stop restart clear cachedata removed installed again  nothing days and days and days of this useless app
5758,easy quick and convenient
521,been with scotia bank since i was  i am now  have never had any problems always helpful and kind from any ethnic background thank you scotia bank fort mcmurray and lloydminster 
4070,does what i need it to and no buffering
5441,scotiabank is the only bank that updates their mobile app  times aday if you are constantly concerned about your own system that really makes me question how much customer information is really safe with your bank
8702,very convenient
8781,covers all my needs and is easy to navigate
2652,i find the app very user friendly
38, theyre closing our pemberton bc branch w no consultation when we complained regional staff had rude call in meeting laughted at us when they thought mikes were muted will miss gr local staff recordings on telebanking suggest renew mortgages in app really no negotiations whoever accepts st rate offered we didnt after printing out competitors rates several dropins  appointments in person we got a decent rates app is poor substitute for live staff 
7737,grest
5883,wow very surprised and impressed used points for this hotel and all was perfect great family hotel
2566,vert bad it is very diffacult for a senior
7446,good
8774,glitches sometimes but customer service is amazing 
4013,it is easy to use and time saving
1255,cool
8392,flawless
9010, always keeps shutting down  very buggy
2412,it wont stay open for me anymore even when i want to etransfer money
8623,very clean    excellent customer services front office staff are very very helpful  very active with us
3891,easy and no problems
994,app works great scotiabank on the other hand is not once again they have transferred my money without permission and left my family with zero money for food or shelter never again will i deal with this bank st time they said it was a mistake second time mistake rd time a mistake but this time its clear its no mistake just screwing over people for a  dollar nsf fee pathetic bank
3151,app has been down for five days running
2869,whoa this app is infected please uninstall i uninstalled tried to reinstall and it says same thingwth scotia
3240,garbage just like the bank and services that are zero over yrs as customer and bought home through you and terrible bank no recommended at all switching banks
3046,something went wrong please deactivate sv and register again every single time useless app if i have to unregister and reregister my card and  factor authentication each time
1364,nunca me permite el ingreso psima aplicacin
7153,the app constantly freezes on my android device and is unusable force stopping the app or resetting the device seems to the only solution to exit the app
2579,love it
4430,constant maintenance
3460,so many issues for an app that should always be working
1994,quick
519,
7485,great
5073,nicely
3365,please fix ur app ur sv does not work i have been every single day to deqctive it and register again and there are so many question you ask for reg perpose please fix the app
7103,great
558,cant use the app just closes before it opens my phones says to wait for the publisher to fix the bug
8938,stop forcing the use of your useless app i just want to sign in to the browser not get redirected to your stupid app everytime
7085,like the  circles of hell or groundhog day you are asked to use sv then you get a message that says sorry thats unavailable right now try signing in again its like a terrible joke you say its for security but theres no point if it doesnt work properly
6475,good
8054,only loads for me like  of the time on the first try
3147,pretty good experience with the app every now and then there is no access with limited or no explanation however i can usually log in via web browser
3148,great app
196,app hasnt worked for like  days
8129,its been better with certain features like cheque reading but its still unable to open my accounts effectively locking me out of my credit card account it seems something went wrong is their motto at this point
5583,after the last update i have to che my  start review to a  start review for the last two todays broke the app the main one being the widget for it no longer works on iphone this app works perfect but on android it is the opposite please fix your app asap from want i read on the other reviews that i am not the only one having issues
7311,quick and easy
7992,staff is very friendly and supportivethank you guys so much
5173,telling me to remove my  step verification and wont let me sign in unless i do it through the play store first fix your damn app
8252,easy
4418,good
188,i cant login
1176,it is a very good app its reliable only issue that i come across is when switching between two user accounts it usually cant do that easily
5770,not able to log in after the last update 
334,bugged app keeps crashing when you reinstall you cant login because of  step verification
396,everything right down to your credit score report in this app helped me file for bankruptcy
6058,although i pay a lot of banking fees many of their services such as money transfers are very easy and convenient
7724,no issues great app with features
5372,backupyourdata
5644,app is useful easy and has helpful features like a quick snapshot widget
4340,
3779,the phone app is easy to use and intuitive
2632,can not opt out of step verification which is not needed if your password is fullstrength banking my way needs to be simpler and faster not using this app
8268, step verification needs big improvement notification doesnt arrive on time in the app even with proper wifi connection
50,app is trash i always spend  mins plus trying to deposit a cheque by taking a photo always on a dark surface well lit all corners in frame everything it states to do but yet it can never deposit i always end up having to go to an atm or in branch whats the point of the feature super frustrating
3098,pretty good no real issue easier then going to the bank every payday
6207,depositing a cheque use to be so easy now it can never capture it properly so frustrated with this new update
5010,flawless victory
7965,i dont understand why they wouldnt put your balance on the end of each line it makes it very confusing and near impossible to keep track of your transactions what reason other than to confuse you or keep things unclear could there be its definitely not to the users benefit and isnt that the point of the app to make things simple and easy to keep track of other than that its  as for scotiabank itself and their customer service horrible please fix
406,i am fully satisfied with this online banking app
4578,thank you scotiabank
852,very glitchy and badly executed features that most of the time doesnt work smoothly this is the worst mobile banking experience i have ever had
6965,since updated deposits wont work taking picture of cheque it told me the pictures uncleari took  times in different angles light keep telling me unclear whats the problem
5496,cant log in
4216,sucks
1085,easy to use  great feature  use this all the time
3079, times something doesnt work either its stuck trying to sign me in something in app refuses to fetch and load i basically have to use my pc to do small banking things its annoying
2167,love this bank app
2031,i am not getting on to the app keep saying my info is incorrect try again after almost perfect service before
7569,easy
4382,app will not install on my phone samsung s
6820,over charged on service fee
4969,last weekend i couldnt transfer any money out of my savings account this weekend i am unable to emt money or have access to any of my accounts customer service is piss poor and am more than likely moving all my accounts to a more reliable bank fed up with scotiabank being one of the largest buisnesses in canada and not taking any responsibility when customers are unable to access their own money they should be fined
8896,depositing cheques has been broken since early december not sure what benefits are supposed to come with the updated cheque deposit interface hard to consider scotiabank a good banking experience when there is little experience to be had since you cannot deposit your money with them edit jan  update came depositing a cheque still doesnt work regardless if auto capture is on or off if its still an issue come february i will be changing banks
3752,how is it that this bank can report  million in earnings and cant have a competent app developer make and maintain the app what an absolute crapshow this app is i am very seriously considering going to the bank of cash in the mattress at this point  out of anything
1645,app keeps telling me to disable fa that i didnt agree to authorize in the first place and then tells me oops something went wrong
7231,very easy to use
2090,i like this bank 
8410,best banking app ever fast response time on each click and great ui easily and hands down the best banking app
1912,very happy with scotia bank management and staffs are very nice helpful and professional
3270,cant not deposit check
8821,awesome
1467,great bank thank you
8099,cant log in  of the time  just keeps saying an error has occurred garbage
2177,overall pretty good app id like to have the option of transferring whatever is left after x date from this account to that account without it being a specific amount also would be nice to be able to add remindersnotifications when automatic withdrawals from other companies are set to come out
8316,last update cant sign in every time you perform an update it screws up the app cant get in february  please fix these issues
5065,convenient
4381,easy to use low learning curve
3073,quick and easy
5628,since the last update it keeps asking me to deactivate the sv and register again each time i want to open the app whats the problem i never had this problem before please fix it asap
4872,at the point i need to change banks app has not worked in months
7352,has improved significantly since their original release
4140,great service
3445,does exactly what it should the app works better than accessing via mobile browser if only because i feel silly starting a twofactor authentication login on my phone only to have to confirm my identity also using the same device the app is far more streamlined than the browser and much recommended if you do a lot of mobile banking
